series,x,value,pixel_x,pixel_y,uncertainty_value,confidence,value_status,visible_colour
Eukarya (OTU),17,0.25120108,310.4,238.8068,0.00356189,0.8193,visible_marker_observed,#d81919
Eukarya (OTU),18,0.25184275,322.6,238.6407,0.00350084,0.8212,visible_marker_observed,#d81919
Eukarya (OTU),19,0.25143087,334.8,238.7473,0.00326014,0.829,visible_marker_observed,#d81919
Eukarya (OTU),20,0.25386811,347.0,238.1165,0.00338068,0.8251,visible_marker_observed,#d81919
Eukarya (OTU),21,0.24554116,359.2,240.2717,0.00336098,0.8257,visible_marker_observed,#d81919
Eukarya (OTU),22,0.24209481,371.4,241.1637,0.00324314,0.8296,visible_marker_observed,#d81919
Eukarya (OTU),23,0.23371173,383.6,243.3334,0.00343323,0.8234,visible_marker_observed,#d81919
Eukarya (OTU),24,0.22998739,395.8,244.2974,0.00337373,0.8253,visible_marker_observed,#d81919
Eukarya (OTU),25,0.22338254,408.0,246.0069,0.00322807,0.8301,visible_marker_observed,#d81919
Eukarya (OTU),26,0.22296579,420.2,246.1147,0.00337295,0.8253,visible_marker_observed,#d81919
Eukarya (OTU),27,0.22514197,432.4,245.5515,0.00342164,0.8237,visible_marker_observed,#d81919
Eukarya (OTU),28,0.22368297,444.6,245.9291,0.00300475,0.8378,visible_marker_observed,#d81919
Eukarya (OTU),29,0.22424528,456.8,245.7836,0.00309207,0.8348,visible_marker_observed,#d81919
Eukarya (OTU),30,0.21914364,469.0,247.104,0.00321339,0.8306,visible_marker_observed,#d81919
Eukarya (OTU),31,0.21632897,481.2,247.8325,0.0035557,0.8195,visible_marker_observed,#d81919
Eukarya (OTU),32,0.20962936,493.4,249.5665,0.00308705,0.8349,visible_marker_observed,#d81919
Eukarya (OTU),33,0.20229708,505.6,251.4643,0.0033857,0.8249,visible_marker_observed,#d81919
Eukarya (OTU),34,0.20043288,517.8,251.9468,0.00348539,0.8217,visible_marker_observed,#d81919
Eukarya (OTU),35,0.19556097,530.0,253.2077,0.00348268,0.8218,visible_marker_observed,#d81919
Eukarya (OTU),36,0.19548868,542.2,253.2265,0.00329259,0.8279,visible_marker_observed,#d81919
Eukarya (OTU),37,0.18710032,554.4,255.3976,0.003451,0.8228,visible_marker_observed,#d81919
Eukarya (OTU),38,0.18972989,566.6,254.717,0.00350316,0.8212,visible_marker_observed,#d81919
Eukarya (OTU),39,0.19099918,578.8,254.3884,0.00338725,0.8248,visible_marker_observed,#d81919
Eukarya (OTU),40,0.19290132,591.0,253.8961,0.00339073,0.8247,visible_marker_observed,#d81919
