map_id,cell_type,spot_id,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,displayed_colour_value_approx,value_status,colourbar_y_px,colourbar_lab_distance,fill_hex,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,drawing_index,visible_status
map_12,Cancer clone A,map_12_0014,326.9175109863281,61.26451301574707,0.24999785981747383,0.0293191760967309,0.02002458878076626,colourbar_calibrated_visible_approximation,590,2.565450486612391,#43274d,67,39,77,1.90899658203125,2.0509986877441406,972,vector_marker_extracted
map_12,Cancer clone A,map_12_0015,328.8269958496094,61.26451301574707,0.28570751866096483,0.0293191760967309,0.17430713476419687,colourbar_calibrated_visible_approximation,550,1.1488385861321047,#4d3f81,77,63,129,1.90997314453125,2.0509986877441406,1170,vector_marker_extracted
map_12,Cancer clone A,map_12_0016,330.73699951171875,61.26451301574707,0.3214268796652412,0.0293191760967309,0.5291569905260877,colourbar_calibrated_visible_approximation,458,1.161442853336801,#368e8c,54,142,140,1.90997314453125,2.0509986877441406,1235,vector_marker_extracted
map_12,Cancer clone A,map_12_0017,332.6470031738281,61.26451301574707,0.35714624066951756,0.0293191760967309,0.02002458878076626,colourbar_calibrated_visible_approximation,590,2.565450486612391,#43274d,67,39,77,1.90997314453125,2.0509986877441406,1003,vector_marker_extracted
map_12,Cancer clone A,map_12_0018,334.5564880371094,61.26451301574707,0.3928558995130086,0.0293191760967309,0.02002458878076626,colourbar_calibrated_visible_approximation,590,2.565450486612391,#43274d,67,39,77,1.90899658203125,2.0509986877441406,1038,vector_marker_extracted
map_12,Cancer clone A,map_12_0019,336.46600341796875,61.26451301574707,0.42856612907183994,0.0293191760967309,0.44044452658561484,colourbar_calibrated_visible_approximation,481,1.4274238552235006,#3d7b8b,61,123,139,1.90997314453125,2.0509986877441406,1213,vector_marker_extracted
map_12,Cancer clone A,map_12_0020,338.3760070800781,61.26451301574707,0.4642854900761163,0.0293191760967309,0.2938761079013558,colourbar_calibrated_visible_approximation,519,1.2257076559619131,#435b8b,67,91,139,1.90997314453125,2.0509986877441406,1190,vector_marker_extracted
map_12,Cancer clone A,map_12_0021,340.2855224609375,61.26451301574707,0.49999571963494766,0.0293191760967309,0.47901516308147263,colourbar_calibrated_visible_approximation,471,1.319141386936436,#39828c,57,130,140,1.90899658203125,2.0509986877441406,1219,vector_marker_extracted
map_12,Cancer clone A,map_12_0022,342.19500732421875,61.26451301574707,0.5357053784784387,0.0293191760967309,0.1588788801658541,colourbar_calibrated_visible_approximation,554,1.4015642182672594,#50387d,80,56,125,1.90997314453125,2.0509986877441406,1163,vector_marker_extracted
map_12,Cancer clone A,map_12_0023,344.1050109863281,61.26451301574707,0.571424739482715,0.0293191760967309,0.4828722267310583,colourbar_calibrated_visible_approximation,470,1.4931104653629692,#3a838c,58,131,140,1.90997314453125,2.0509986877441406,1223,vector_marker_extracted
