kind,set,series,category,spot_id,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,pixel_x,pixel_y,radius,fill,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,value,value_status,colourbar_y_px,colourbar_lab_distance,drawing_index,visible_status,numeric_use_allowed,coordinate_space
point,region_map,categorical_region_spot,Cancer,region_0037,148.4550018310547,80.7485466003418,0.4642920762116312,0.07691852079269769,285.229174,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,121,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0038,151.68499755859375,80.7485466003418,0.5,0.07691852079269769,298.687490,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,142,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0039,154.91600036621094,80.7485466003418,0.5357190571587234,0.07691852079269769,312.150002,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,163,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0040,158.14700317382812,80.7485466003418,0.5714381143174468,0.07691852079269769,325.612513,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,184,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0041,161.3769989013672,80.7485466003418,0.6071460381058156,0.07691852079269769,339.070829,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,205,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0042,164.60800170898438,80.7485466003418,0.642865095264539,0.07691852079269769,352.533340,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,227,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0043,167.83799743652344,80.7485466003418,0.6785730190529078,0.07691852079269769,365.991656,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,247,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0044,171.06900024414062,80.7485466003418,0.7142920762116312,0.07691852079269769,379.454168,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,266,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0045,174.3000030517578,80.7485466003418,0.7500111333703546,0.07691852079269769,392.916679,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,285,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0046,177.52999877929688,80.7485466003418,0.7857190571587234,0.07691852079269769,406.374995,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,302,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
