spot_id,region,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,fill_hex,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,drawing_index,visible_status
region_0121,Cancer,187.2220001220703,93.4415397644043,0.892865095264539,0.2307673990696638,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,343,vector_marker_extracted
region_0122,Duct Epithelium,129.0709991455078,96.6145133972168,0.25,0.26922628956940103,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,420,vector_marker_extracted
region_0123,Duct Epithelium,132.302001953125,96.6145133972168,0.2857190571587234,0.26922628956940103,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,10,vector_marker_extracted
region_0124,Duct Epithelium,135.5330047607422,96.6145133972168,0.3214381143174468,0.26922628956940103,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,30,vector_marker_extracted
region_0125,Stroma,138.76300048828125,96.6145133972168,0.3571460381058156,0.26922628956940103,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,51,vector_marker_extracted
region_0126,Pancreatic,141.99400329589844,96.6145133972168,0.392865095264539,0.26922628956940103,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,72,vector_marker_extracted
region_0127,Pancreatic,145.2239990234375,96.6145133972168,0.4285730190529078,0.26922628956940103,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,94,vector_marker_extracted
region_0128,Pancreatic,148.4550018310547,96.6145133972168,0.4642920762116312,0.26922628956940103,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,116,vector_marker_extracted
region_0129,Pancreatic,151.68499755859375,96.6145133972168,0.5,0.26922628956940103,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,138,vector_marker_extracted
region_0130,Stroma,161.3769989013672,96.6145133972168,0.6071460381058156,0.26922628956940103,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,200,vector_marker_extracted
region_0131,Stroma,164.60800170898438,96.6145133972168,0.642865095264539,0.26922628956940103,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,222,vector_marker_extracted
region_0132,Cancer,171.06900024414062,96.6145133972168,0.7142920762116312,0.26922628956940103,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,261,vector_marker_extracted
region_0133,Cancer,174.3000030517578,96.6145133972168,0.7500111333703546,0.26922628956940103,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,280,vector_marker_extracted
region_0134,Cancer,177.52999877929688,96.6145133972168,0.7857190571587234,0.26922628956940103,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,297,vector_marker_extracted
region_0135,Cancer,180.76100158691406,96.6145133972168,0.8214381143174468,0.26922628956940103,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,313,vector_marker_extracted
region_0136,Cancer,183.99099731445312,96.6145133972168,0.8571460381058156,0.26922628956940103,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,329,vector_marker_extracted
region_0137,Cancer,187.2220001220703,96.6145133972168,0.892865095264539,0.26922628956940103,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,342,vector_marker_extracted
region_0138,Duct Epithelium,129.0709991455078,99.78754806518555,0.25,0.3076859198623615,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,419,vector_marker_extracted
region_0139,Duct Epithelium,132.302001953125,99.78754806518555,0.2857190571587234,0.3076859198623615,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,9,vector_marker_extracted
region_0140,Duct Epithelium,135.5330047607422,99.78754806518555,0.3214381143174468,0.3076859198623615,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,29,vector_marker_extracted
region_0141,Stroma,138.76300048828125,99.78754806518555,0.3571460381058156,0.3076859198623615,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,50,vector_marker_extracted
region_0142,Pancreatic,141.99400329589844,99.78754806518555,0.392865095264539,0.3076859198623615,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,71,vector_marker_extracted
region_0143,Pancreatic,145.2239990234375,99.78754806518555,0.4285730190529078,0.3076859198623615,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,93,vector_marker_extracted
region_0144,Pancreatic,148.4550018310547,99.78754806518555,0.4642920762116312,0.3076859198623615,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,115,vector_marker_extracted
region_0145,Pancreatic,151.68499755859375,99.78754806518555,0.5,0.3076859198623615,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,137,vector_marker_extracted
region_0146,Pancreatic,154.91600036621094,99.78754806518555,0.5357190571587234,0.3076859198623615,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,158,vector_marker_extracted
region_0147,Stroma,158.14700317382812,99.78754806518555,0.5714381143174468,0.3076859198623615,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,179,vector_marker_extracted
region_0148,Stroma,161.3769989013672,99.78754806518555,0.6071460381058156,0.3076859198623615,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,199,vector_marker_extracted
region_0149,Stroma,164.60800170898438,99.78754806518555,0.642865095264539,0.3076859198623615,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,221,vector_marker_extracted
region_0150,Stroma,167.83799743652344,99.78754806518555,0.6785730190529078,0.3076859198623615,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,242,vector_marker_extracted
region_0151,Cancer,171.06900024414062,99.78754806518555,0.7142920762116312,0.3076859198623615,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,260,vector_marker_extracted
region_0152,Cancer,174.3000030517578,99.78754806518555,0.7500111333703546,0.3076859198623615,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,279,vector_marker_extracted
region_0153,Cancer,177.52999877929688,99.78754806518555,0.7857190571587234,0.3076859198623615,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,296,vector_marker_extracted
region_0154,Cancer,180.76100158691406,99.78754806518555,0.8214381143174468,0.3076859198623615,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,312,vector_marker_extracted
region_0155,Cancer,183.99099731445312,99.78754806518555,0.8571460381058156,0.3076859198623615,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,328,vector_marker_extracted
region_0156,Cancer,187.2220001220703,99.78754806518555,0.892865095264539,0.3076859198623615,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,341,vector_marker_extracted
region_0157,Cancer,190.45199584960938,99.78754806518555,0.9285730190529078,0.3076859198623615,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,351,vector_marker_extracted
region_0158,Duct Epithelium,132.302001953125,102.96149826049805,0.2857190571587234,0.34615664705366944,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,8,vector_marker_extracted
region_0159,Duct Epithelium,135.5330047607422,102.96149826049805,0.3214381143174468,0.34615664705366944,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,28,vector_marker_extracted
region_0160,Duct Epithelium,138.76300048828125,102.96149826049805,0.3571460381058156,0.34615664705366944,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,49,vector_marker_extracted
region_0161,Pancreatic,141.99400329589844,102.96149826049805,0.392865095264539,0.34615664705366944,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,70,vector_marker_extracted
region_0162,Pancreatic,145.2239990234375,102.96149826049805,0.4285730190529078,0.34615664705366944,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,92,vector_marker_extracted
region_0163,Pancreatic,148.4550018310547,102.96149826049805,0.4642920762116312,0.34615664705366944,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,114,vector_marker_extracted
region_0164,Pancreatic,151.68499755859375,102.96149826049805,0.5,0.34615664705366944,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,136,vector_marker_extracted
region_0165,Pancreatic,154.91600036621094,102.96149826049805,0.5357190571587234,0.34615664705366944,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,157,vector_marker_extracted
region_0166,Stroma,158.14700317382812,102.96149826049805,0.5714381143174468,0.34615664705366944,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,178,vector_marker_extracted
region_0167,Stroma,161.3769989013672,102.96149826049805,0.6071460381058156,0.34615664705366944,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,198,vector_marker_extracted
region_0168,Stroma,164.60800170898438,102.96149826049805,0.642865095264539,0.34615664705366944,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,220,vector_marker_extracted
region_0169,Stroma,167.83799743652344,102.96149826049805,0.6785730190529078,0.34615664705366944,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,241,vector_marker_extracted
region_0170,Stroma,171.06900024414062,102.96149826049805,0.7142920762116312,0.34615664705366944,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,259,vector_marker_extracted
region_0171,Cancer,174.3000030517578,102.96149826049805,0.7500111333703546,0.34615664705366944,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,278,vector_marker_extracted
region_0172,Cancer,177.52999877929688,102.96149826049805,0.7857190571587234,0.34615664705366944,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,295,vector_marker_extracted
region_0173,Cancer,180.76100158691406,102.96149826049805,0.8214381143174468,0.34615664705366944,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,311,vector_marker_extracted
region_0174,Cancer,183.99099731445312,102.96149826049805,0.8571460381058156,0.34615664705366944,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,327,vector_marker_extracted
region_0175,Cancer,187.2220001220703,102.96149826049805,0.892865095264539,0.34615664705366944,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,340,vector_marker_extracted
region_0176,Cancer,190.45199584960938,102.96149826049805,0.9285730190529078,0.34615664705366944,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,350,vector_marker_extracted
region_0177,Duct Epithelium,132.302001953125,106.1345329284668,0.2857190571587234,0.3846162773466299,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,7,vector_marker_extracted
region_0178,Duct Epithelium,135.5330047607422,106.1345329284668,0.3214381143174468,0.3846162773466299,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,27,vector_marker_extracted
region_0179,Duct Epithelium,138.76300048828125,106.1345329284668,0.3571460381058156,0.3846162773466299,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,48,vector_marker_extracted
region_0180,Duct Epithelium,141.99400329589844,106.1345329284668,0.392865095264539,0.3846162773466299,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,69,vector_marker_extracted
region_0181,Pancreatic,145.2239990234375,106.1345329284668,0.4285730190529078,0.3846162773466299,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,91,vector_marker_extracted
region_0182,Pancreatic,148.4550018310547,106.1345329284668,0.4642920762116312,0.3846162773466299,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,113,vector_marker_extracted
region_0183,Pancreatic,151.68499755859375,106.1345329284668,0.5,0.3846162773466299,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,135,vector_marker_extracted
region_0184,Stroma,154.91600036621094,106.1345329284668,0.5357190571587234,0.3846162773466299,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,156,vector_marker_extracted
region_0185,Stroma,158.14700317382812,106.1345329284668,0.5714381143174468,0.3846162773466299,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,177,vector_marker_extracted
region_0186,Pancreatic,161.3769989013672,106.1345329284668,0.6071460381058156,0.3846162773466299,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,197,vector_marker_extracted
region_0187,Pancreatic,164.60800170898438,106.1345329284668,0.642865095264539,0.3846162773466299,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,219,vector_marker_extracted
region_0188,Pancreatic,167.83799743652344,106.1345329284668,0.6785730190529078,0.3846162773466299,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,240,vector_marker_extracted
region_0189,Cancer,171.06900024414062,106.1345329284668,0.7142920762116312,0.3846162773466299,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,258,vector_marker_extracted
region_0190,Cancer,174.3000030517578,106.1345329284668,0.7500111333703546,0.3846162773466299,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,277,vector_marker_extracted
region_0191,Cancer,177.52999877929688,106.1345329284668,0.7857190571587234,0.3846162773466299,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,294,vector_marker_extracted
region_0192,Cancer,180.76100158691406,106.1345329284668,0.8214381143174468,0.3846162773466299,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,310,vector_marker_extracted
region_0193,Cancer,183.99099731445312,106.1345329284668,0.8571460381058156,0.3846162773466299,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,326,vector_marker_extracted
region_0194,Duct Epithelium,135.5330047607422,109.3075065612793,0.3214381143174468,0.4230751678463671,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,26,vector_marker_extracted
