series,sample_index,log10_molar,plotted_value,pdf_x_pt,pdf_y_pt,status
ADR,51,-8.890173756767396,21.897304722150746,127.30099487304688,265.7180480957031,curve_path_traced
ADR,52,-8.878612940283029,21.99780861111072,127.40999603271484,265.66204833984375,curve_path_traced
ADR,53,-8.872673527320526,21.99780861111072,127.46599578857422,265.66204833984375,curve_path_traced
ADR,54,-8.866733305173698,22.098312500070694,127.52200317382812,265.6060485839844,curve_path_traced
ADR,55,-8.854854479248694,22.098312500070694,127.63400268554688,265.6060485839844,curve_path_traced
ADR,56,-8.84880987232364,22.2006238159166,127.69099426269531,265.5490417480469,curve_path_traced
ADR,57,-8.836931046398638,22.299320277990645,127.80299377441406,265.4940490722656,curve_path_traced
ADR,58,-8.831308833692443,22.299320277990645,127.85600280761719,265.4940490722656,curve_path_traced
ADR,59,-8.825369420729942,22.39982416695062,127.91200256347656,265.43804931640625,curve_path_traced
ADR,60,-8.813490594804938,22.502135482796522,128.0240020751953,265.38104248046875,curve_path_traced
ADR,61,-8.807551181842436,22.502135482796522,128.0800018310547,265.38104248046875,curve_path_traced
ADR,62,-8.801611768879933,22.602639371756496,128.13600158691406,265.3250427246094,curve_path_traced
ADR,63,-8.789732942954931,22.69777575057038,128.2480010986328,265.27203369140625,curve_path_traced
ADR,64,-8.784005536286186,22.798279639530357,128.302001953125,265.2160339355469,curve_path_traced
ADR,65,-8.77817293565489,22.798279639530357,128.35699462890625,265.2160339355469,curve_path_traced
ADR,66,-8.76618729739868,22.89878352849033,128.47000122070312,265.1600341796875,curve_path_traced
ADR,67,-8.754308471473676,23.09979130641028,128.58200073242188,265.04803466796875,curve_path_traced
ADR,68,-8.742429645548674,23.200295195370256,128.69400024414062,264.9920349121094,curve_path_traced
ADR,69,-8.736809051211134,23.200295195370256,128.7469940185547,264.9920349121094,curve_path_traced
ADR,70,-8.72493022528613,23.30079908433023,128.85899353027344,264.93603515625,curve_path_traced
ADR,71,-8.718990812323629,23.403110400176132,128.9149932861328,264.8790283203125,curve_path_traced
ADR,72,-8.71294458702992,23.496439352104087,128.9720001220703,264.8270263671875,curve_path_traced
ADR,73,-8.701172573436123,23.598695897438297,129.08299255371094,264.7700500488281,curve_path_traced
ADR,74,-8.695126348142415,23.69919978639827,129.13999938964844,264.71405029296875,curve_path_traced
ADR,75,-8.689610947767427,23.797951018984012,129.19200134277344,264.6590270996094,curve_path_traced
ADR,76,-8.677626927879873,23.797951018984012,129.30499267578125,264.6590270996094,curve_path_traced
ADR,77,-8.665748101954868,24.000711453278193,129.4169921875,264.5460510253906,curve_path_traced
ADR,78,-8.653762463698659,24.10121534223817,129.52999877929688,264.49005126953125,curve_path_traced
ADR,79,-8.647929863067363,24.201719231198144,129.58499145507812,264.4340515136719,curve_path_traced
ADR,80,-8.641990450104862,24.296855610012027,129.6409912109375,264.38104248046875,curve_path_traced
ADR,81,-8.630428824436166,24.397359498972,129.75,264.3250427246094,curve_path_traced
ADR,82,-8.618549998511162,24.60017470377788,129.86199951171875,264.2120361328125,curve_path_traced
ADR,83,-8.606564360254954,24.698871165851926,129.97500610351562,264.15704345703125,curve_path_traced
ADR,84,-8.60062494729245,24.80118248169783,130.031005859375,264.10003662109375,curve_path_traced
ADR,85,-8.58906493999241,24.901686370657803,130.13999938964844,264.0440368652344,curve_path_traced
ADR,86,-8.583125527029908,25.00038283273185,130.1959991455078,263.9890441894531,curve_path_traced
ADR,87,-8.577186114067405,25.19602310050571,130.2519989013672,263.8800354003906,curve_path_traced
ADR,88,-8.565307288142403,25.29833441635161,130.36399841308594,263.8230285644531,curve_path_traced
ADR,89,-8.553321649886193,25.49934219427156,130.4770050048828,263.7110290527344,curve_path_traced
ADR,90,-8.541761642586152,25.599846083231537,130.58599853515625,263.655029296875,curve_path_traced
ADR,91,-8.529989628992354,25.802661288037413,130.69699096679688,263.5420227050781,curve_path_traced
ADR,92,-8.518003990736146,25.998246785299578,130.80999755859375,263.43304443359375,curve_path_traced
ADR,93,-8.506125164811142,26.197447136333597,130.9219970703125,263.3220520019531,curve_path_traced
ADR,94,-8.494563539142446,26.2997584521795,131.031005859375,263.2650451660156,curve_path_traced
ADR,95,-8.488624126179944,26.50076623009945,131.08700561523438,263.1530456542969,curve_path_traced
ADR,96,-8.47674530025494,26.601270119059425,131.19900512695312,263.0970458984375,curve_path_traced
ADR,97,-8.470700693329889,26.7017740080194,131.25599670410156,263.0410461425781,curve_path_traced
ADR,98,-8.464761280367386,26.897414275793256,131.31199645996094,262.9320373535156,curve_path_traced
ADR,99,-8.452882454442381,26.997918164753234,131.4239959716797,262.87603759765625,curve_path_traced
ADR,100,-8.44694304147988,27.098422053713207,131.47999572753906,262.8200378417969,curve_path_traced
ADR,101,-8.441320828773687,27.301237258519084,131.5330047607422,262.70703125,curve_path_traced
ADR,102,-8.42933680888613,27.399933720593133,131.64599609375,262.65203857421875,curve_path_traced
ADR,103,-8.334942220367374,29.29696516365454,132.53599548339844,261.59503173828125,curve_path_traced
ADR,104,-8.317123981479869,29.60028425742039,132.70399475097656,261.426025390625,curve_path_traced
ADR,105,-8.305138343223659,30.00229981326029,132.81700134277344,261.2020263671875,curve_path_traced
ADR,106,-8.293578335923618,30.097381421562478,132.92599487304688,261.1490478515625,curve_path_traced
ADR,107,-8.104470340261138,35.00235459639111,134.70899963378906,258.4160461425781,curve_path_traced
ADR,108,-8.092591514336135,35.19799486416497,134.8209991455078,258.3070373535156,curve_path_traced
ADR,109,-8.086652101373632,35.49950653104489,134.8769989013672,258.1390380859375,curve_path_traced
ADR,110,-8.08071268841113,35.70051430896484,134.93299865722656,258.02703857421875,curve_path_traced
ADR,111,-8.068833862486127,35.896154576738695,135.0449981689453,257.91802978515625,curve_path_traced
ADR,112,-7.897650918042359,41.50104012051529,136.65899658203125,254.7950439453125,curve_path_traced
